3.7479,3.9018,3.9533,3.9883,4.0235,4.0684,4.1254,4.1866,4.2121,4.2105,1.4882,1.5106,1.5103,1.5106,1.2189,0.57957,0.31591,0.19466,0.12753,0.081694,27.434,26.471,27.046,28.025,28.872,27.316,26.127,25.453,25.063,24.831,1.8565
3.7535,3.8994,3.9502,3.9854,4.0212,4.0663,4.1243,4.1865,4.212,4.2099,1.4882,1.5107,1.5104,1.5111,1.2112,0.57777,0.31286,0.1908,0.12265,0.079365,27.623,26.621,27.187,28.145,28.977,27.412,26.236,25.568,25.166,24.931,1.8463
3.7614,3.8998,3.9496,3.9849,4.0211,4.0671,4.1255,4.1887,4.2121,4.2101,1.4884,1.5108,1.5108,1.5109,1.1975,0.56657,0.30964,0.18939,0.1217,0.078062,27.549,26.563,27.124,28.088,28.885,27.307,26.14,25.47,25.073,24.829,1.8353
3.7582,3.8981,3.9481,3.9837,4.0201,4.0658,4.1248,4.1881,4.2123,4.2104,1.4881,1.5107,1.5106,1.5102,1.1991,0.56921,0.30811,0.18658,0.11961,0.076844,27.526,26.478,27.014,27.976,28.772,27.204,26.037,25.366,24.971,24.749,1.8353
3.7554,3.8969,3.9473,3.9828,4.0193,4.0651,4.124,4.1878,4.2122,4.2105,1.4878,1.5106,1.5102,1.5105,1.198,0.56931,0.30856,0.18666,0.11979,0.076041,27.424,26.369,26.922,27.889,28.699,27.131,26.003,25.347,24.962,24.729,1.8346
3.7529,3.8959,3.9462,3.9819,4.0182,4.0641,4.1227,4.1873,4.2122,4.2102,1.4881,1.5104,1.5105,1.511,1.1991,0.57298,0.30804,0.18517,0.1191,0.075652,27.489,26.465,27.042,28.006,28.843,27.295,26.122,25.459,25.045,24.809,1.8357
3.7495,3.8943,3.945,3.9807,4.017,4.0628,4.1213,4.1864,4.212,4.2097,1.4879,1.5107,1.5105,1.5107,1.2008,0.57513,0.30876,0.18664,0.11855,0.074722,27.563,26.529,27.09,28.067,28.909,27.339,26.161,25.49,25.103,24.86,1.8351
3.76,3.8961,3.9456,3.9814,4.0182,4.0648,4.1243,4.1894,4.2123,4.2105,1.488,1.5103,1.5106,1.511,1.1825,0.56205,0.30297,0.18239,0.1165,0.072736,27.659,26.569,27.108,28.053,28.821,27.238,26.091,25.43,25.049,24.82,1.8258
3.7567,3.8951,3.9453,3.9812,4.0181,4.0647,4.1241,4.1894,4.2123,4.2102,1.4884,1.5108,1.511,1.5108,1.1817,0.5631,0.3027,0.18319,0.11659,0.0718,27.699,26.53,27.053,27.993,28.767,27.169,26.018,25.364,24.983,24.751,1.8248
3.7546,3.8948,3.9451,3.9812,4.0181,4.0647,4.1242,4.1896,4.2121,4.2097,1.4882,1.5109,1.5104,1.5105,1.1774,0.56328,0.30434,0.18312,0.11565,0.073047,27.624,26.437,26.945,27.887,28.67,27.064,25.92,25.255,24.869,24.63,1.8246
3.7507,3.8938,3.9445,3.9807,4.0176,4.0641,4.1235,4.1892,4.212,4.2096,1.4881,1.511,1.5107,1.5108,1.1804,0.56398,0.30464,0.18369,0.11562,0.072347,27.634,26.406,26.914,27.858,28.658,27.061,25.93,25.279,24.91,24.698,1.8246
3.8449,3.9215,3.9617,4,4.0445,4.1012,4.169,4.2113,4.2103,4.207,1.487,1.5107,1.5107,1.4856,0.89296,0.43762,0.25281,0.15283,0.09471,0.05851,28.375,27.071,27.579,28.583,28.364,26.732,25.794,25.263,24.961,24.786,1.8142
3.7607,3.8954,3.945,3.9813,4.0187,4.0661,4.1266,4.1923,4.212,4.2098,1.4881,1.5107,1.5104,1.5109,1.1563,0.55097,0.29818,0.18003,0.11319,0.070845,27.914,26.691,27.206,28.138,28.858,27.237,26.107,25.46,25.084,24.862,1.8138
3.7567,3.8945,3.9446,3.9811,4.0185,4.0657,4.1264,4.1918,4.2122,4.2094,1.4882,1.5112,1.5111,1.5113,1.1584,0.55074,0.29974,0.17993,0.11317,0.070808,27.965,26.668,27.145,28.079,28.8,27.158,26.023,25.363,24.973,24.752,1.8134
3.7549,3.8945,3.9448,3.9814,4.0188,4.0661,4.1267,4.1921,4.2121,4.2095,1.4884,1.5108,1.511,1.5107,1.1551,0.55554,0.29814,0.17957,0.11299,0.070949,27.83,26.535,27.008,27.94,28.668,27.02,25.88,25.219,24.832,24.61,1.8026
3.7678,3.8977,3.9468,3.9834,4.0213,4.0694,4.1308,4.1951,4.212,4.2093,1.4881,1.5109,1.5108,1.5109,1.1297,0.5402,0.29564,0.1777,0.11149,0.069999,27.68,26.43,26.923,27.865,28.538,26.862,25.748,25.09,24.72,24.496,1.8021
3.7659,3.8975,3.9469,3.9837,4.0216,4.0699,4.1314,4.1954,4.2122,4.2093,1.488,1.5105,1.5108,1.5108,1.126,0.53816,0.29523,0.17766,0.11155,0.069333,27.689,26.392,26.863,27.808,28.465,26.789,25.678,25.031,24.652,24.435,1.8026
3.7626,3.8968,3.9465,3.9834,4.0215,4.0698,4.1312,4.1957,4.2122,4.2092,1.4879,1.5106,1.5108,1.511,1.1277,0.53818,0.29677,0.17821,0.11202,0.069418,27.807,26.448,26.901,27.851,28.521,26.84,25.725,25.08,24.704,24.484,1.8031
3.7588,3.8958,3.9459,3.9829,4.021,4.0692,4.1306,4.1954,4.212,4.2093,1.4879,1.5107,1.5106,1.5106,1.1291,0.5409,0.29607,0.17779,0.11123,0.069131,27.957,26.524,26.966,27.897,28.572,26.878,25.757,25.109,24.741,24.524,1.8028
3.8461,3.9309,3.9695,4.0024,4.0377,4.0827,4.1398,4.1986,4.2119,4.2089,1.4878,1.5108,1.5108,1.511,1.1114,0.53615,0.29173,0.17196,0.10752,0.069467,24.391,25.222,26.515,27.86,28.595,27.017,25.974,25.387,25.052,24.867,1.847
3.7692,3.9019,3.9485,3.9817,4.0156,4.0584,4.1141,4.1781,4.212,4.2107,1.4873,1.5097,1.51,1.5104,1.2449,0.60082,0.31262,0.1815,0.11513,0.072841,24.911,25.261,26.496,27.851,29.015,27.649,26.528,25.875,25.501,25.29,1.8474
3.7653,3.9001,3.947,3.9806,4.0146,4.0571,4.1135,4.1776,4.212,4.2107,1.4887,1.5111,1.511,1.5111,1.2454,0.59685,0.31148,0.18175,0.11442,0.073009,25.31,25.6,26.692,27.923,28.985,27.524,26.351,25.69,25.304,25.07,1.8362
3.7776,3.9038,3.9497,3.9833,4.0178,4.0613,4.1186,4.1824,4.2121,4.2106,1.4884,1.5111,1.511,1.5112,1.2196,0.58463,0.3054,0.17916,0.11307,0.071971,24.922,25.223,26.338,27.57,28.577,27.059,25.906,25.258,24.883,24.657,1.8258
3.787,3.9068,3.9515,3.9853,4.0202,4.0644,4.1224,4.1864,4.2123,4.2099,1.4884,1.511,1.511,1.5111,1.1978,0.56973,0.30149,0.1778,0.11269,0.071035,24.689,25.026,26.153,27.409,28.38,26.834,25.699,25.068,24.703,24.485,1.8251
